Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Tag My News (Titles Only),No Augmentation,0.055517328,9.5,350.1,1.1380082519,62.3809546225
Tag My News (Titles Only),No Augmentation,0.07058107400000001,9.5,363.45,1.1472939193499998,63.507463931
Tag My News (Titles Only),No Augmentation,0.086186148,9.5,379.75,1.09970400335,63.89570564149999
Tag My News (Titles Only),No Augmentation,0.102372909,9.5,412.0,1.0466477006000001,66.520617902
Tag My News (Titles Only),No Augmentation,0.11918640800000001,9.5,312.0,1.0097409993500002,67.93333321950001
Tag My News (Titles Only),No Augmentation,0.13667714,9.5,286.0,0.9971649288999999,67.7325585485
Tag My News (Titles Only),No Augmentation,0.15490196,9.5,283.7,0.9616116255,68.054607511
Tag My News (Titles Only),No Augmentation,0.173925197,9.5,274.9,0.9553130865500001,68.981763423
Tag My News (Titles Only),No Augmentation,0.193820026,9.5,285.5,0.9345389990999999,69.808743298
Tag My News (Titles Only),No Augmentation,0.214670165,9.5,283.7,0.8889025241499999,71.5147790315
Tag My News (Titles Only),No Augmentation,0.236572006,9.5,255.55,0.8792131275000001,72.41610646299999
Tag My News (Titles Only),No Augmentation,0.25963731100000004,9.5,237.3,0.8937551349000001,71.23469352650002
Tag My News (Titles Only),No Augmentation,0.283996656,9.5,240.45,0.86294084785,72.80783623500001
Tag My News (Titles Only),No Augmentation,0.30980392,9.5,240.55,0.8580807417499999,72.38461703050001
Tag My News (Titles Only),No Augmentation,0.33724216799999995,9.5,242.9,0.8362504006,73.71271550549999
Tag My News (Titles Only),No Augmentation,0.366531544,9.5,212.45,0.83354322615,73.663295208
Tag My News (Titles Only),No Augmentation,0.397940009,9.5,213.4,0.8014905691,74.70039993549997
Tag My News (Titles Only),No Augmentation,0.43179827600000004,9.5,208.35,0.7940316648500001,74.76073592899999
Tag My News (Titles Only),No Augmentation,0.46852108299999995,9.5,198.0,0.8039800346,74.7567874175
Tag My News (Titles Only),No Augmentation,0.508638306,9.5,190.15,0.78387010105,75.36458343250001
Tag My News (Titles Only),No Augmentation,0.5528419689999999,9.5,184.75,0.80455160145,74.5652277765
Tag My News (Titles Only),No Augmentation,0.602059991,9.5,185.15,0.7461217432,76.7545589805
Tag My News (Titles Only),No Augmentation,0.6575773189999999,9.5,179.9,0.75003789355,76.62599653000001
